grid_id,g_lat,g_lon,g_temp_median,g_temp_p25,g_temp_p75,g_rf_median,g_rf_p25,g_rf_p75,g_soil_light,g_soil_medium,g_soil_heavy
222,23.5,95.5,28.600264890483043,25.49545371869045,30.998327576827016,1408.4473436805272,375.5827403859102,2852.698025703564,0.0,1.0,1.0
223,23.5,96.5,28.612901047191546,25.48726341618101,31.10522920490053,1316.2190569662862,364.2386630848559,2220.0365891534148,0.0,1.0,1.0
224,23.5,97.5,28.644912812677784,25.473643009953328,31.21740055746745,1260.4192378912117,357.7634071806626,1923.2425454015656,0.0,1.0,1.0
225,23.5,98.5,28.66504514083136,25.448291499923464,31.324130217159425,1240.808809100146,355.87614416956484,1733.4441208621868,0.0,1.0,1.0
226,23.5,99.5,28.6935385985924,25.436579401172985,31.436414808282457,1262.6836891001349,359.2886015428681,1814.375710564358,0.0,1.0,1.0
227,24.5,67.5,33.440392972421414,30.501790926676108,35.84030864342503,1452.513589884352,502.9031671581902,4452.181923830523,0.0,1.0,0.0
228,24.5,68.5,33.729347,30.827408,36.131252,1011.0112062,294.162732375,3632.1469425,1.0,1.0,0.0
229,24.5,69.5,33.763374,30.571274,36.14849,1712.1173292,503.00134875,7181.13228,0.0,1.0,0.0
230,24.5,70.5,33.28582,29.961697,36.088116,852.2210814,284.0737182,4039.716948,0.0,1.0,1.0
231,24.5,71.5,33.13591,29.58904,36.431675,1029.1193124,172.8222354,3672.589302,0.0,1.0,1.0
232,24.5,72.5,32.96442,29.253256,36.27961,1364.216322,419.62039080000005,3296.31861,0.0,1.0,1.0
233,24.5,73.5,32.147507,28.40186,35.782387,1593.0446459999998,301.74093531,4794.064359,0.0,1.0,1.0
234,24.5,74.5,32.426548,28.089926,36.006237,2189.196609,582.2297622,6936.4989780000005,0.0,1.0,1.0
241,24.5,81.5,33.019062,27.752367,36.661438,1215.7858638,352.86027609,4035.99912,0.0,1.0,1.0
242,24.5,82.5,32.957565,27.764542,36.58304,2063.0001201,659.86320255,5956.918827,0.0,1.0,1.0
243,24.5,83.5,32.616104,27.291647,35.770283,2096.7032118,431.3504712,5095.808849999999,0.0,1.0,1.0
244,24.5,84.5,32.85845,27.725367,35.902657,1136.9951955,278.7360108,3335.423514,0.0,1.0,1.0
245,24.5,85.5,32.653934,27.579239,35.686462,1233.7941069,366.0,2927.40322785,0.0,1.0,1.0
246,24.5,86.5,32.744724,27.888195,35.502335,1798.4582481,828.0633978000001,4565.3900295,0.0,1.0,1.0
247,24.5,87.5,32.925186,28.012732,35.365746,1594.635282,325.3457814,4940.905572,0.0,1.0,1.0
248,24.5,88.5,32.9215,28.467548,35.19317,1355.47368,306.42069000000004,4228.76583,0.0,1.0,1.0
249,24.5,89.5,31.561527411987505,27.411367221871508,33.73812960175834,2203.422462994475,503.0780667035358,7377.42567589238,0.0,1.0,1.0
250,24.5,90.5,30.24854207563213,26.413401365022764,32.38694959726204,2351.296333816223,491.2369702042407,8787.883134781256,0.0,1.0,1.0
251,24.5,91.5,29.08654,25.297897,31.196545,2745.0000732000003,530.6999999999999,9909.450549,0.0,1.0,1.0
252,24.5,92.5,28.784515,25.66401,31.281986,1491.9786504,252.33574638,5621.344041,0.0,1.0,1.0
253,24.5,93.5,28.816422,25.722435,31.400839,1756.8,439.2,4520.099999999999,0.0,1.0,1.0
254,24.5,94.5,28.418434,25.41523,30.948708,1866.6,439.2,4575.0,0.0,1.0,1.0
255,24.5,95.5,28.45953777508737,25.443924271554675,30.961166424458167,1461.3345406238786,377.1755071291293,3059.7396706285303,0.0,1.0,1.0
256,24.5,96.5,28.54762417757277,25.50322907184498,31.1472699486264,1350.1030212893686,364.3637314489236,2380.4070302489886,0.0,1.0,1.0
257,24.5,97.5,28.596407963469268,25.50045145649031,31.287007392435395,1292.7357753203075,358.21021842796364,2100.5132545945094,0.0,1.0,1.0
258,24.5,98.5,28.62014665573836,25.47226715497473,31.360364657696305,1280.5876838413578,357.6636210115934,1960.6516451373243,0.0,1.0,1.0
259,24.5,99.5,28.65589256993137,25.46537761723553,31.46112364910772,1312.178113316224,362.5232497836754,2115.980446182792,0.0,1.0,1.0
260,25.5,66.5,33.35159954661987,29.89243668912876,35.96557628708157,1441.2274145703927,478.5070919187225,4287.646376308765,0.0,1.0,1.0
261,25.5,67.5,33.676534978199804,30.190066897225947,36.16993107638244,1402.2826044808307,475.612456952552,4212.822029039968,0.0,1.0,1.0
262,25.5,68.5,33.96538312370873,30.34812583902644,36.43956645331757,1381.0581844470669,473.4004650161216,4459.167071044878,1.0,1.0,0.0
263,25.5,69.5,34.11570670581221,30.145588166810665,36.60522753352039,1385.2166206737925,472.3640853115588,4959.276584710048,0.0,1.0,1.0
264,25.5,70.5,34.133415,29.530827,36.765053,1936.4507157,670.7687124,6335.5157235,0.0,1.0,1.0
265,25.5,71.5,33.83914,29.192396,36.562496,1975.7480442,638.2275243,5243.0950275000005,0.0,1.0,1.0
266,25.5,72.5,33.439594,28.639977,36.23927,1538.9229449999998,348.77740335,3666.96173175,0.0,1.0,1.0
267,25.5,73.5,32.099983,27.805624,35.35631,2180.4280359,611.7573977999999,5739.76389,0.0,1.0,1.0
268,25.5,74.5,32.71038,27.909233,36.177788,2370.36789,612.5607220500001,6410.232244500001,0.0,1.0,1.0
275,25.5,81.5,33.15203,27.613636,36.803585,901.3120392,441.7461339,2777.1344889,0.0,1.0,1.0
